
Code
Dimension   Fixed Cost    Capacity
40	1186	121
Facility	Client	Transportation Cost	Demand
1	1	0.0	23
37	1	19.1	23
30	1	30.3	23
17	1	31.4	23
2	2	0.0	32
27	2	27.6	32
20	2	31.7	32
21	2	44.6	32
3	3	0.0	27
13	3	32.2	27
19	3	33.0	27
18	3	36.5	27
4	4	0.0	21
33	4	36.3	21
8	4	38.0	21
34	4	45.7	21
5	5	0.0	23
38	5	40.1	23
9	5	48.0	23
30	5	54.7	23
6	6	0.0	5
39	6	5.6	5
15	6	7.2	5
32	6	9.7	5
7	7	0.0	26
31	7	35.7	26
28	7	38.0	26
12	7	43.8	26
8	8	0.0	14
34	8	13.0	14
33	8	19.9	14
4	8	25.3	14
9	9	0.0	31
38	9	22.5	31
40	9	33.9	31
30	9	53.9	31
10	10	0.0	6
36	10	6.0	6
25	10	7.0	6
21	10	7.5	6
11	11	0.0	18
15	11	25.3	18
6	11	36.6	18
39	11	46.0	18
12	12	0.0	15
28	12	15.1	15
34	12	18.5	15
7	12	25.3	15
13	13	0.0	7
18	13	1.9	7
32	13	3.1	7
3	13	8.3	7
14	14	0.0	17
26	14	20.1	17
29	14	21.2	17
37	14	39.8	17
15	15	0.0	21
11	15	29.6	21
6	15	30.1	21
39	15	51.6	21
16	16	0.0	14
20	16	6.1	14
2	16	19.8	14
21	16	21.7	14
17	17	0.0	25
35	17	7.6	25
25	17	24.3	25
13	17	33.9	25
18	18	0.0	26
32	18	4.9	26
13	18	7.2	26
39	18	31.2	26
19	19	0.0	31
40	19	29.8	31
3	19	37.8	31
39	19	53.5	31
20	20	0.0	9
16	20	3.9	9
2	20	8.9	9
21	20	13.0	9
21	21	0.0	22
36	21	7.5	22
10	21	27.5	22
2	21	30.7	22
22	22	0.0	28
16	22	57.6	28
20	22	60.1	28
33	22	77.6	28
23	23	0.0	12
28	23	15.2	12
31	23	15.8	12
7	23	23.7	12
24	24	0.0	23
11	24	61.6	23
19	24	85.9	23
40	24	91.6	23
25	25	0.0	5
35	25	3.4	5
17	25	4.9	5
10	25	5.9	5
26	26	0.0	30
14	26	35.5	30
29	26	63.6	30
5	26	89.3	30
27	27	0.0	23
2	27	19.8	23
20	27	41.1	23
21	27	48.7	23
28	28	0.0	23
12	28	23.1	23
23	28	29.1	23
7	28	33.6	23
29	29	0.0	19
14	29	23.7	19
37	29	37.8	19
26	29	40.3	19
30	30	0.0	19
37	30	21.1	19
1	30	25.0	19
40	30	28.2	19
31	31	0.0	9
23	31	11.8	9
7	31	12.3	9
28	31	16.6	9
32	32	0.0	14
18	32	2.6	14
13	32	6.2	14
39	32	14.2	14
33	33	0.0	34
8	33	48.3	34
4	33	58.8	34
16	33	63.7	34
34	34	0.0	21
8	34	19.5	21
12	34	26.0	21
25	34	43.1	21
35	35	0.0	20
17	35	6.0	20
25	35	13.4	20
10	35	27.5	20
36	36	0.0	29
21	36	9.9	29
10	36	28.8	29
2	36	48.3	29
37	37	0.0	28
1	37	23.2	28
30	37	31.2	28
29	37	55.7	28
38	38	0.0	24
9	38	17.4	24
5	38	41.9	24
40	38	43.6	24
39	39	0.0	10
32	39	10.2	10
6	39	11.2	10
18	39	12.0	10
40	40	0.0	25
19	40	24.0	25
9	40	27.3	25
30	40	37.1	25
