
Code
Dimension   Fixed Cost    Capacity
30	1237	128
Facility	Client	Transportation Cost	Demand
1	1	0.0	23
14	1	6.7	23
7	1	20.4	23
2	2	0.0	17
28	2	18.9	17
9	2	21.2	17
3	3	0.0	8
9	3	9.8	8
30	3	9.9	8
4	4	0.0	6
22	4	1.7	6
6	4	4.3	6
5	5	0.0	13
7	5	19.1	13
1	5	29.7	13
6	6	0.0	12
8	6	7.6	12
4	6	8.6	12
7	7	0.0	31
1	7	27.6	31
14	7	31.0	31
8	8	0.0	34
26	8	11.0	34
6	8	21.5	34
9	9	0.0	35
3	9	42.9	35
2	9	43.7	35
10	10	0.0	22
17	10	13.5	22
14	10	23.1	22
11	11	0.0	24
18	11	45.5	24
21	11	49.1	24
12	12	0.0	32
15	12	53.4	32
24	12	55.0	32
13	13	0.0	10
29	13	14.0	10
27	13	16.1	10
14	14	0.0	5
1	14	1.5	5
7	14	5.0	5
15	15	0.0	28
12	15	46.8	28
24	15	61.5	28
16	16	0.0	35
25	16	53.3	35
21	16	69.7	35
17	17	0.0	31
20	17	14.9	31
10	17	19.0	31
18	18	0.0	11
21	18	4.4	11
25	18	7.8	11
19	19	0.0	17
6	19	17.0	17
8	19	22.1	17
20	20	0.0	35
17	20	16.8	35
10	20	38.2	35
21	21	0.0	25
18	21	9.9	25
25	21	11.8	25
22	22	0.0	26
4	22	7.5	26
6	22	25.8	26
23	23	0.0	5
30	23	10.8	5
11	23	11.9	5
24	24	0.0	6
12	24	10.3	6
15	24	13.2	6
25	25	0.0	20
21	25	9.4	20
18	25	14.2	20
26	26	0.0	35
8	26	11.3	35
6	26	27.0	35
27	27	0.0	29
13	27	46.7	29
29	27	52.1	29
28	28	0.0	9
2	28	10.0	9
9	28	20.9	9
29	29	0.0	30
21	29	36.6	30
13	29	41.9	30
30	30	0.0	29
3	30	35.8	29
23	30	62.8	29
