
Code
Dimension   Fixed Cost    Capacity
40	1154	114
Facility	Client	Transportation Cost	Demand
1	1	0.0	13
6	1	6.9	13
29	1	14.4	13
24	1	20.5	13
2	2	0.0	26
16	2	23.0	26
4	2	24.9	26
19	2	51.4	26
3	3	0.0	13
26	3	8.1	13
9	3	8.6	13
37	3	21.4	13
4	4	0.0	14
16	4	10.4	14
2	4	13.4	14
32	4	21.7	14
5	5	0.0	21
37	5	11.6	21
22	5	20.2	21
3	5	41.5	21
6	6	0.0	5
1	6	2.6	5
29	6	6.1	5
24	6	10.3	5
7	7	0.0	26
39	7	18.3	26
18	7	27.7	26
33	7	36.9	26
8	8	0.0	6
30	8	5.6	6
21	8	7.8	6
23	8	8.0	6
9	9	0.0	30
3	9	19.9	30
26	9	31.4	30
34	9	39.3	30
10	10	0.0	14
38	10	10.9	14
35	10	34.6	14
11	10	35.5	14
11	11	0.0	19
35	11	7.9	19
38	11	35.3	19
22	11	38.1	19
12	12	0.0	33
24	12	28.0	33
1	12	58.9	33
29	12	69.3	33
13	13	0.0	31
20	13	49.1	31
39	13	57.7	31
18	13	72.3	31
14	14	0.0	6
25	14	5.2	6
15	14	10.2	6
40	14	12.5	6
15	15	0.0	15
14	15	25.5	15
29	15	27.2	15
6	15	33.1	15
16	16	0.0	14
4	16	10.4	14
2	16	12.4	14
32	16	18.0	14
17	17	0.0	21
36	17	16.3	21
40	17	28.4	21
28	17	31.2	21
18	18	0.0	15
33	18	9.2	15
39	18	15.8	15
7	18	16.0	15
19	19	0.0	5
28	19	7.2	5
2	19	9.9	5
34	19	10.0	5
20	20	0.0	9
13	20	14.2	9
37	20	21.5	9
5	20	23.5	9
21	21	0.0	14
23	21	11.4	14
8	21	18.3	14
30	21	22.6	14
22	22	0.0	25
5	22	24.1	25
37	22	33.7	25
35	22	46.8	25
23	23	0.0	9
21	23	7.3	9
8	23	12.1	9
30	23	18.3	9
24	24	0.0	27
12	24	22.9	27
29	24	38.7	27
1	24	42.5	27
25	25	0.0	14
14	25	12.1	14
40	25	18.7	14
27	25	28.9	14
26	26	0.0	19
3	26	11.9	19
9	26	19.9	19
4	26	30.3	19
27	27	0.0	31
32	27	29.5	31
16	27	55.2	31
25	27	64.1	31
28	28	0.0	14
36	28	18.7	14
19	28	20.2	14
17	28	20.8	14
29	29	0.0	23
1	29	25.4	23
6	29	28.0	23
24	29	32.9	23
30	30	0.0	32
8	30	29.8	32
31	30	31.2	32
21	30	51.7	32
31	31	0.0	18
30	31	17.6	18
36	31	22.1	18
8	31	33.8	18
32	32	0.0	32
27	32	30.4	32
16	32	41.2	32
4	32	49.6	32
33	33	0.0	14
18	33	8.6	14
7	33	19.9	14
39	33	22.7	14
34	34	0.0	23
9	34	30.1	23
35	34	37.0	23
3	34	42.8	23
35	35	0.0	32
11	35	13.4	32
34	35	51.4	32
38	35	55.4	32
36	36	0.0	30
17	36	23.3	30
31	36	36.8	30
28	36	40.0	30
37	37	0.0	19
5	37	10.5	19
22	37	25.6	19
3	37	31.3	19
38	38	0.0	26
10	38	20.3	26
35	38	45.0	26
11	38	48.3	26
39	39	0.0	7
7	39	4.9	7
18	39	7.4	7
33	39	11.3	7
40	40	0.0	15
25	40	20.0	15
17	40	20.3	15
36	40	31.0	15
