
Code
Dimension   Fixed Cost    Capacity
50	1184	119
Facility	Client	Transportation Cost	Demand
1	1	0.0	17
11	1	0.2	17
6	1	24.0	17
20	1	25.8	17
4	1	30.0	17
2	2	0.0	22
16	2	6.1	22
36	2	16.2	22
38	2	22.5	22
37	2	24.5	22
3	3	0.0	12
14	3	9.7	12
17	3	11.7	12
25	3	11.8	12
15	3	14.3	12
4	4	0.0	7
23	4	6.4	7
50	4	8.6	7
11	4	12.3	7
1	4	12.4	7
5	5	0.0	35
20	5	28.4	35
15	5	38.4	35
24	5	39.8	35
25	5	58.1	35
6	6	0.0	26
12	6	23.4	26
44	6	29.6	26
1	6	36.6	26
11	6	36.9	26
7	7	0.0	27
12	7	28.5	27
6	7	52.7	27
1	7	74.4	27
11	7	74.5	27
8	8	0.0	25
48	8	2.9	25
44	8	28.9	25
20	8	47.4	25
5	8	49.5	25
9	9	0.0	21
49	9	21.3	21
30	9	24.0	21
27	9	31.5	21
38	9	36.1	21
10	10	0.0	5
33	10	5.1	5
40	10	10.0	5
42	10	10.5	5
13	10	11.4	5
11	11	0.0	5
1	11	0.1	5
6	11	7.1	5
20	11	7.6	5
4	11	8.8	5
12	12	0.0	23
6	12	20.7	23
7	12	24.3	23
44	12	43.4	23
1	12	43.8	23
13	13	0.0	31
41	13	43.7	31
33	13	47.7	31
10	13	70.5	31
40	13	80.0	31
14	14	0.0	10
17	14	5.2	10
3	14	8.1	10
34	14	10.7	10
15	14	15.7	10
15	15	0.0	28
24	15	23.6	28
25	15	28.7	28
5	15	30.8	28
29	15	31.9	28
16	16	0.0	15
2	16	4.2	15
36	16	8.3	15
38	16	12.0	15
37	16	14.6	15
17	17	0.0	15
14	17	7.8	15
34	17	8.2	15
3	17	14.6	15
25	17	29.3	15
18	18	0.0	8
21	18	18.3	8
19	18	32.2	8
45	18	32.9	8
8	18	36.0	8
19	19	0.0	10
45	19	12.4	10
29	19	17.4	10
21	19	17.7	10
24	19	18.6	10
20	20	0.0	17
5	20	13.8	17
1	20	25.8	17
11	20	25.9	17
15	20	26.2	17
21	21	0.0	23
19	21	40.6	23
45	21	50.4	23
18	21	52.5	23
24	21	70.3	23
22	22	0.0	22
28	22	6.2	22
43	22	11.1	22
39	22	21.7	22
2	22	39.5	22
23	23	0.0	33
50	23	26.3	33
4	23	30.0	33
47	23	38.3	33
26	23	58.2	33
24	24	0.0	22
29	24	14.7	22
15	24	18.6	22
5	24	25.0	22
19	24	40.9	22
25	25	0.0	18
3	25	17.8	18
15	25	18.5	18
20	25	28.3	18
5	25	29.9	18
26	26	0.0	22
46	26	8.0	22
32	26	14.9	22
50	26	22.1	22
23	26	38.8	22
27	27	0.0	13
49	27	6.7	13
30	27	7.0	13
38	27	11.4	13
36	27	14.2	13
28	28	0.0	28
22	28	7.9	28
43	28	21.7	28
39	28	35.6	28
2	28	51.0	28
29	29	0.0	11
24	29	7.3	11
15	29	12.5	11
14	29	17.3	11
19	29	19.2	11
30	30	0.0	32
49	30	15.3	32
27	30	17.1	32
38	30	21.1	32
37	30	29.2	32
31	31	0.0	34
35	31	36.7	34
41	31	58.3	34
45	31	70.1	34
29	31	73.2	34
32	32	0.0	13
46	32	7.1	13
26	32	8.8	13
50	32	16.6	13
47	32	21.9	13
33	33	0.0	22
10	33	22.6	22
40	33	30.1	22
41	33	31.2	22
13	33	33.9	22
34	34	0.0	28
17	34	15.4	28
14	34	29.9	28
3	34	39.5	28
42	34	57.0	28
35	35	0.0	9
31	35	9.7	9
41	35	11.4	9
40	35	11.7	9
33	35	19.6	9
36	36	0.0	32
38	36	9.8	32
37	36	13.7	32
16	36	17.7	32
2	36	23.6	32
37	37	0.0	9
38	37	3.5	9
36	37	3.9	9
30	37	8.2	9
16	37	8.7	9
38	38	0.0	21
36	38	6.5	21
37	38	8.1	21
30	38	13.8	21
16	38	16.9	21
39	39	0.0	16
43	39	8.5	16
22	39	15.8	16
28	39	20.3	16
47	39	20.8	16
40	40	0.0	35
42	40	42.1	35
35	40	45.5	35
33	40	47.9	35
41	40	54.6	35
41	41	0.0	14
35	41	17.8	14
13	41	19.7	14
33	41	19.8	14
40	41	21.8	14
42	42	0.0	12
40	42	14.4	12
49	42	20.5	12
27	42	22.5	12
34	42	24.4	12
43	43	0.0	33
22	43	16.6	33
39	43	17.6	33
28	43	25.6	33
2	43	55.7	33
44	44	0.0	18
48	44	19.2	18
6	44	20.5	18
8	44	20.8	18
20	44	33.8	18
45	45	0.0	14
19	45	17.4	14
31	45	28.9	14
21	45	30.7	14
29	45	38.3	14
46	46	0.0	29
26	46	10.5	29
32	46	15.7	29
50	46	38.7	29
47	46	58.4	29
47	47	0.0	16
50	47	16.2	16
23	47	18.6	16
39	47	20.8	16
32	47	26.9	16
48	48	0.0	13
8	48	1.5	13
44	48	13.9	13
20	48	23.4	13
5	48	25.0	13
49	49	0.0	13
30	49	6.2	13
27	49	6.7	13
9	49	13.2	13
38	49	14.4	13
50	50	0.0	28
23	50	22.3	28
26	50	28.1	28
47	50	28.4	28
4	50	34.3	28
